Nom du plat,Description du plat,Ingrédients,Allergènes détectés
Saucisses et purée,"Arachides, Crevettes, Oignons, Sauce soja, Champignons, Chocolat noir","Arachides, Crevettes, Oignons, Sauce soja, Champignons, Chocolat noir","Arachides, Soja, Crustacés"
Ratatouille,"Pâtes alimentaires, Boeuf haché, Sauce soja, Beurre, Huile végétale","Pâtes alimentaires, Boeuf haché, Sauce soja, Beurre, Huile végétale","Gluten, Lait, Soja"
Hamburger steak,"Noix de cajou, Oeufs, Beurre, Noisettes, Tomates, Oignons","Noix de cajou, Oeufs, Beurre, Noisettes, Tomates, Oignons","Fruits à coque, Oeufs, Lait"
Lasagne bolognaise,"Poisson, Chocolat noir, Céleri, Boeuf haché","Poisson, Chocolat noir, Céleri, Boeuf haché","Céleri, Poisson"
Fèves au lard,"Fromage en grains, Noix de cajou, Poisson, Sauce brune, Pommes de terre, Pâtes alimentaires","Fromage en grains, Noix de cajou, Poisson, Sauce brune, Pommes de terre, Pâtes alimentaires","Fruits à coque, Gluten, Lait, Poisson"
Escargots à l'ail,"Tomates, Carottes, Sauce soja, Pommes de terre, Moutarde, Poulet","Tomates, Carottes, Sauce soja, Pommes de terre, Moutarde, Poulet","Moutarde, Soja"
Profiteroles,"Sésame, Chocolat noir, Farine de blé","Sésame, Chocolat noir, Farine de blé","Gluten, Graines de sésame"
Filet de saumon,"Arachides, Pommes de terre, Huile végétale, Poivrons, Poisson, Champignons","Arachides, Pommes de terre, Huile végétale, Poivrons, Poisson, Champignons","Arachides, Poisson"
Cassoulet,"Beurre, Poulet, Sésame, Crevettes, Pommes de terre","Beurre, Poulet, Sésame, Crevettes, Pommes de terre","Graines de sésame, Lait, Crustacés"
Spaghetti carbonara,"Crème fraîche, Pâtes alimentaires, Céleri, Arachides","Crème fraîche, Pâtes alimentaires, Céleri, Arachides","Gluten, Arachides, Lait, Céleri"
Poutine classique,"Moutarde, Céleri, Champignons, Huile végétale, Noix de cajou, Oeufs","Moutarde, Céleri, Champignons, Huile végétale, Noix de cajou, Oeufs","Moutarde, Oeufs, Fruits à coque, Céleri"
Profiteroles,"Huile végétale, Pâtes alimentaires, Fromage en grains","Huile végétale, Pâtes alimentaires, Fromage en grains","Gluten, Lait"
Pain doré,"Pâtes alimentaires, Lait, Tomates, Poivrons, Chocolat noir, Poisson","Pâtes alimentaires, Lait, Tomates, Poivrons, Chocolat noir, Poisson","Gluten, Lait, Poisson"
Chili con carne,"Pommes de terre, Farine de blé, Oignons","Pommes de terre, Farine de blé, Oignons",Gluten
Gâteau au chocolat,"Champignons, Oeufs, Moutarde","Champignons, Oeufs, Moutarde","Moutarde, Oeufs"
Lasagne bolognaise,"Sésame, Poulet, Poivrons, Poisson, Noisettes","Sésame, Poulet, Poivrons, Poisson, Noisettes","Fruits à coque, Graines de sésame, Poisson"
Coquilles Saint-Jacques,"Oeufs, Lait, Noisettes","Oeufs, Lait, Noisettes","Fruits à coque, Oeufs, Lait"
Saucisses et purée,"Poisson, Noix de cajou, Moutarde, Sauce brune, Huile végétale","Poisson, Noix de cajou, Moutarde, Sauce brune, Huile végétale","Fruits à coque, Moutarde, Gluten, Poisson"
Pâté chinois,"Pâtes alimentaires, Noisettes, Moutarde, Oignons","Pâtes alimentaires, Noisettes, Moutarde, Oignons","Fruits à coque, Gluten, Moutarde"
Pain doré,"Lait, Boeuf haché, Noisettes, Champignons, Beurre, Vanille","Lait, Boeuf haché, Noisettes, Champignons, Beurre, Vanille","Fruits à coque, Lait"
Soupe à l'oignon,"Huile végétale, Carottes, Pâtes alimentaires, Poisson, Noisettes","Huile végétale, Carottes, Pâtes alimentaires, Poisson, Noisettes","Fruits à coque, Gluten, Poisson"
Cassoulet,"Crevettes, Farine de blé, Noix de cajou, Céleri","Crevettes, Farine de blé, Noix de cajou, Céleri","Fruits à coque, Gluten, Céleri, Crustacés"
Crème brûlée,"Escargots, Crevettes, Crème fraîche, Pain, Carottes, Boeuf haché","Escargots, Crevettes, Crème fraîche, Pain, Carottes, Boeuf haché","Gluten, Lait, Mollusques, Crustacés"
Poulet rôti,"Boeuf haché, Champignons, Pâtes alimentaires, Tomates, Sauce soja, Beurre","Boeuf haché, Champignons, Pâtes alimentaires, Tomates, Sauce soja, Beurre","Gluten, Lait, Soja"
Omelette au fromage,"Poivrons, Chocolat noir, Oeufs, Pâtes alimentaires, Arachides, Lait","Poivrons, Chocolat noir, Oeufs, Pâtes alimentaires, Arachides, Lait","Oeufs, Gluten, Lait, Arachides"
Magret de canard,"Huile végétale, Pâtes alimentaires, Pain, Lait, Sauce brune, Vanille","Huile végétale, Pâtes alimentaires, Pain, Lait, Sauce brune, Vanille","Gluten, Lait"
Pizza au fromage,"Oeufs, Pain, Noisettes, Crème fraîche, Arachides, Fromage en grains","Oeufs, Pain, Noisettes, Crème fraîche, Arachides, Fromage en grains","Fruits à coque, Oeufs, Arachides, Lait, Gluten"
Saucisses et purée,"Sésame, Pâtes alimentaires, Noix de cajou","Sésame, Pâtes alimentaires, Noix de cajou","Fruits à coque, Gluten, Graines de sésame"
Saucisses et purée,"Sésame, Noix de cajou, Noisettes","Sésame, Noix de cajou, Noisettes","Fruits à coque, Graines de sésame"
Chili con carne,"Crevettes, Céleri, Pâtes alimentaires, Vanille","Crevettes, Céleri, Pâtes alimentaires, Vanille","Gluten, Céleri, Crustacés"
Boeuf stroganoff,"Oeufs, Noix de cajou, Boeuf haché","Oeufs, Noix de cajou, Boeuf haché","Fruits à coque, Oeufs"
Soupe aux pois,"Poulet, Huile végétale, Sésame, Crème fraîche","Poulet, Huile végétale, Sésame, Crème fraîche","Graines de sésame, Lait"
Soupe à l'oignon,"Pâtes alimentaires, Noisettes, Farine de blé, Sésame, Poulet, Poivrons","Pâtes alimentaires, Noisettes, Farine de blé, Sésame, Poulet, Poivrons","Fruits à coque, Gluten, Graines de sésame"
Rôti de porc,"Sauce soja, Beurre, Tomates, Poivrons, Sésame, Chocolat noir","Sauce soja, Beurre, Tomates, Poivrons, Sésame, Chocolat noir","Graines de sésame, Lait, Soja"
Pâté chinois,"Sauce brune, Poisson, Arachides, Moutarde, Fromage en grains, Pommes de terre","Sauce brune, Poisson, Arachides, Moutarde, Fromage en grains, Pommes de terre","Arachides, Lait, Poisson, Moutarde, Gluten"
Filet de saumon,"Sauce brune, Oignons, Pâtes alimentaires, Tomates, Sauce soja","Sauce brune, Oignons, Pâtes alimentaires, Tomates, Sauce soja","Gluten, Soja"
Hamburger steak,"Pommes de terre, Crème fraîche, Pâtes alimentaires","Pommes de terre, Crème fraîche, Pâtes alimentaires","Gluten, Lait"
Omelette au fromage,"Poivrons, Crème fraîche, Pommes de terre, Farine de blé, Poisson","Poivrons, Crème fraîche, Pommes de terre, Farine de blé, Poisson","Gluten, Lait, Poisson"
Croque-monsieur,"Vanille, Escargots, Oeufs","Vanille, Escargots, Oeufs","Oeufs, Mollusques"
Soupe à l'oignon,"Moutarde, Farine de blé, Oeufs, Boeuf haché, Noix de cajou, Sauce soja","Moutarde, Farine de blé, Oeufs, Boeuf haché, Noix de cajou, Sauce soja","Fruits à coque, Oeufs, Soja, Moutarde, Gluten"
Omelette au fromage,"Boeuf haché, Vanille, Céleri, Sésame","Boeuf haché, Vanille, Céleri, Sésame","Graines de sésame, Céleri"
Boeuf bourguignon,"Moutarde, Arachides, Escargots, Poisson, Crème fraîche","Moutarde, Arachides, Escargots, Poisson, Crème fraîche","Arachides, Lait, Poisson, Moutarde, Mollusques"
Soupe aux pois,"Céleri, Crème fraîche, Boeuf haché, Noix de cajou, Huile végétale, Sauce soja","Céleri, Crème fraîche, Boeuf haché, Noix de cajou, Huile végétale, Sauce soja","Fruits à coque, Lait, Céleri, Soja"
Hamburger steak,"Oignons, Huile végétale, Fromage en grains, Poulet","Oignons, Huile végétale, Fromage en grains, Poulet",Lait
Moules-frites,"Pâtes alimentaires, Beurre, Sauce soja, Farine de blé, Crevettes, Céleri","Pâtes alimentaires, Beurre, Sauce soja, Farine de blé, Crevettes, Céleri","Céleri, Soja, Lait, Gluten, Crustacés"
Tourtière,"Sauce brune, Poulet, Noisettes, Moutarde, Arachides, Escargots","Sauce brune, Poulet, Noisettes, Moutarde, Arachides, Escargots","Fruits à coque, Arachides, Moutarde, Gluten, Mollusques"
Crème brûlée,"Fromage en grains, Pain, Poivrons, Tomates","Fromage en grains, Pain, Poivrons, Tomates","Gluten, Lait"
Pot-au-feu,"Huile végétale, Céleri, Vanille, Lait, Noix de cajou","Huile végétale, Céleri, Vanille, Lait, Noix de cajou","Fruits à coque, Lait, Céleri"
Saucisses et purée,"Boeuf haché, Lait, Pain, Vanille","Boeuf haché, Lait, Pain, Vanille","Gluten, Lait"
Omelette au fromage,"Noisettes, Beurre, Tomates, Sauce brune","Noisettes, Beurre, Tomates, Sauce brune","Fruits à coque, Gluten, Lait"
Ratatouille,"Pommes de terre, Noix de cajou, Sauce brune, Oeufs, Pain","Pommes de terre, Noix de cajou, Sauce brune, Oeufs, Pain","Fruits à coque, Gluten, Oeufs"
Raclette,"Vanille, Fromage en grains, Sésame, Escargots, Moutarde, Sauce soja","Vanille, Fromage en grains, Sésame, Escargots, Moutarde, Sauce soja","Graines de sésame, Soja, Lait, Moutarde, Mollusques"
Macarons,"Chocolat noir, Farine de blé, Arachides","Chocolat noir, Farine de blé, Arachides","Gluten, Arachides"
Pâté chinois,"Sésame, Crevettes, Carottes, Pommes de terre","Sésame, Crevettes, Carottes, Pommes de terre","Graines de sésame, Crustacés"
Pizza au fromage,"Oignons, Carottes, Moutarde, Arachides, Noix de cajou","Oignons, Carottes, Moutarde, Arachides, Noix de cajou","Moutarde, Arachides, Fruits à coque"
Salade César,"Huile végétale, Sauce brune, Pain, Champignons, Noix de cajou","Huile végétale, Sauce brune, Pain, Champignons, Noix de cajou","Fruits à coque, Gluten"
Poulet rôti,"Tomates, Poisson, Noix de cajou, Huile végétale, Fromage en grains, Crème fraîche","Tomates, Poisson, Noix de cajou, Huile végétale, Fromage en grains, Crème fraîche","Fruits à coque, Lait, Poisson"
Quiche lorraine,"Pain, Farine de blé, Sésame","Pain, Farine de blé, Sésame","Gluten, Graines de sésame"
Poutine classique,"Chocolat noir, Sauce brune, Arachides, Noisettes, Sauce soja","Chocolat noir, Sauce brune, Arachides, Noisettes, Sauce soja","Fruits à coque, Gluten, Arachides, Soja"
Hamburger steak,"Oignons, Crème fraîche, Boeuf haché, Fromage en grains, Pain","Oignons, Crème fraîche, Boeuf haché, Fromage en grains, Pain","Gluten, Lait"
Croque-monsieur,"Poisson, Céleri, Sauce soja, Fromage en grains, Poivrons","Poisson, Céleri, Sauce soja, Fromage en grains, Poivrons","Lait, Soja, Céleri, Poisson"
Lasagne bolognaise,"Huile végétale, Sauce brune, Poivrons, Noisettes","Huile végétale, Sauce brune, Poivrons, Noisettes","Fruits à coque, Gluten"
Boeuf stroganoff,"Beurre, Chocolat noir, Oignons, Arachides, Lait, Poivrons","Beurre, Chocolat noir, Oignons, Arachides, Lait, Poivrons","Arachides, Lait"
Cassoulet,"Sésame, Crevettes, Tomates","Sésame, Crevettes, Tomates","Graines de sésame, Crustacés"
Saucisses et purée,"Noisettes, Huile végétale, Céleri, Champignons, Noix de cajou","Noisettes, Huile végétale, Céleri, Champignons, Noix de cajou","Fruits à coque, Céleri"
Éclair au café,"Sésame, Pâtes alimentaires, Poivrons, Moutarde, Sauce soja, Pommes de terre","Sésame, Pâtes alimentaires, Poivrons, Moutarde, Sauce soja, Pommes de terre","Moutarde, Gluten, Graines de sésame, Soja"
Magret de canard,"Noisettes, Oignons, Crème fraîche, Champignons, Pâtes alimentaires","Noisettes, Oignons, Crème fraîche, Champignons, Pâtes alimentaires","Fruits à coque, Gluten, Lait"
Spaghetti carbonara,"Lait, Boeuf haché, Céleri, Carottes, Poivrons, Oeufs","Lait, Boeuf haché, Céleri, Carottes, Poivrons, Oeufs","Oeufs, Lait, Céleri"
Pot-au-feu,"Farine de blé, Pain, Céleri, Sauce soja","Farine de blé, Pain, Céleri, Sauce soja","Gluten, Céleri, Soja"
Raclette,"Noisettes, Oignons, Crevettes, Escargots, Poulet, Arachides","Noisettes, Oignons, Crevettes, Escargots, Poulet, Arachides","Fruits à coque, Arachides, Mollusques, Crustacés"
Cassoulet,"Sauce brune, Farine de blé, Crème fraîche, Vanille","Sauce brune, Farine de blé, Crème fraîche, Vanille","Gluten, Lait"
Ratatouille,"Farine de blé, Poivrons, Poulet, Vanille, Escargots","Farine de blé, Poivrons, Poulet, Vanille, Escargots","Gluten, Mollusques"
Pâté chinois,"Fromage en grains, Farine de blé, Pommes de terre","Fromage en grains, Farine de blé, Pommes de terre","Gluten, Lait"
Coquilles Saint-Jacques,"Vanille, Carottes, Pâtes alimentaires, Pain, Poivrons, Tomates","Vanille, Carottes, Pâtes alimentaires, Pain, Poivrons, Tomates",Gluten
Tarte au sucre,"Crème fraîche, Poivrons, Beurre","Crème fraîche, Poivrons, Beurre",Lait
Soupe à l'oignon,"Céleri, Escargots, Vanille, Oeufs, Carottes, Huile végétale","Céleri, Escargots, Vanille, Oeufs, Carottes, Huile végétale","Oeufs, Mollusques, Céleri"
Croque-monsieur,"Champignons, Carottes, Pâtes alimentaires, Beurre, Céleri, Poulet","Champignons, Carottes, Pâtes alimentaires, Beurre, Céleri, Poulet","Gluten, Lait, Céleri"
Rôti de porc,"Sésame, Pâtes alimentaires, Moutarde, Boeuf haché, Vanille, Champignons","Sésame, Pâtes alimentaires, Moutarde, Boeuf haché, Vanille, Champignons","Moutarde, Gluten, Graines de sésame"
Fondue au fromage,"Vanille, Céleri, Pain, Moutarde","Vanille, Céleri, Pain, Moutarde","Moutarde, Gluten, Céleri"
Tarte au sucre,"Carottes, Champignons, Beurre","Carottes, Champignons, Beurre",Lait
Soupe aux pois,"Vanille, Chocolat noir, Huile végétale, Poulet, Oeufs, Farine de blé","Vanille, Chocolat noir, Huile végétale, Poulet, Oeufs, Farine de blé","Oeufs, Gluten"
Pot-au-feu,"Oignons, Oeufs, Poulet, Arachides","Oignons, Oeufs, Poulet, Arachides","Oeufs, Arachides"
Saucisses et purée,"Chocolat noir, Champignons, Crème fraîche","Chocolat noir, Champignons, Crème fraîche",Lait
Magret de canard,"Lait, Huile végétale, Oignons","Lait, Huile végétale, Oignons",Lait
Poutine classique,"Poisson, Noisettes, Arachides, Champignons, Huile végétale","Poisson, Noisettes, Arachides, Champignons, Huile végétale","Fruits à coque, Arachides, Poisson"
Tourtière,"Noisettes, Arachides, Huile végétale, Poivrons, Sauce soja, Noix de cajou","Noisettes, Arachides, Huile végétale, Poivrons, Sauce soja, Noix de cajou","Fruits à coque, Arachides, Soja"
Pâté chinois,"Champignons, Crème fraîche, Vanille, Noisettes, Poisson","Champignons, Crème fraîche, Vanille, Noisettes, Poisson","Fruits à coque, Lait, Poisson"
Éclair au café,"Farine de blé, Crevettes, Chocolat noir, Champignons, Sauce soja, Sauce brune","Farine de blé, Crevettes, Chocolat noir, Champignons, Sauce soja, Sauce brune","Gluten, Soja, Crustacés"
Pain doré,"Huile végétale, Carottes, Fromage en grains, Champignons","Huile végétale, Carottes, Fromage en grains, Champignons",Lait
Salade niçoise,"Oignons, Beurre, Arachides","Oignons, Beurre, Arachides","Arachides, Lait"
Profiteroles,"Poisson, Poulet, Farine de blé, Noix de cajou","Poisson, Poulet, Farine de blé, Noix de cajou","Fruits à coque, Gluten, Poisson"
Filet de saumon,"Moutarde, Beurre, Lait, Chocolat noir, Noisettes, Poulet","Moutarde, Beurre, Lait, Chocolat noir, Noisettes, Poulet","Moutarde, Lait, Fruits à coque"
Salade César,"Farine de blé, Escargots, Huile végétale, Pommes de terre","Farine de blé, Escargots, Huile végétale, Pommes de terre","Gluten, Mollusques"
Profiteroles,"Sauce soja, Poivrons, Escargots","Sauce soja, Poivrons, Escargots","Mollusques, Soja"
Pâté chinois,"Céleri, Noix de cajou, Vanille, Poivrons","Céleri, Noix de cajou, Vanille, Poivrons","Fruits à coque, Céleri"
Crème brûlée,"Céleri, Carottes, Farine de blé, Sauce brune, Escargots, Fromage en grains","Céleri, Carottes, Farine de blé, Sauce brune, Escargots, Fromage en grains","Gluten, Lait, Mollusques, Céleri"
Salade niçoise,"Carottes, Arachides, Lait, Fromage en grains, Crème fraîche, Boeuf haché","Carottes, Arachides, Lait, Fromage en grains, Crème fraîche, Boeuf haché","Arachides, Lait"
Fèves au lard,"Crevettes, Sauce soja, Arachides, Céleri, Noisettes","Crevettes, Sauce soja, Arachides, Céleri, Noisettes","Fruits à coque, Céleri, Soja, Arachides, Crustacés"
Fèves au lard,"Poisson, Céleri, Noix de cajou, Arachides","Poisson, Céleri, Noix de cajou, Arachides","Fruits à coque, Arachides, Céleri, Poisson"
Chili con carne,"Noisettes, Sauce brune, Oignons, Moutarde, Huile végétale","Noisettes, Sauce brune, Oignons, Moutarde, Huile végétale","Fruits à coque, Gluten, Moutarde"
Escargots à l'ail,"Beurre, Crevettes, Sauce brune","Beurre, Crevettes, Sauce brune","Gluten, Lait, Crustacés"
Salade niçoise,"Lait, Céleri, Pâtes alimentaires, Sésame, Crème fraîche, Pain","Lait, Céleri, Pâtes alimentaires, Sésame, Crème fraîche, Pain","Gluten, Graines de sésame, Lait, Céleri"
Pizza au fromage,"Lait, Sésame, Farine de blé, Pommes de terre","Lait, Sésame, Farine de blé, Pommes de terre","Gluten, Graines de sésame, Lait"
Chili con carne,"Crème fraîche, Céleri, Pain, Fromage en grains","Crème fraîche, Céleri, Pain, Fromage en grains","Gluten, Lait, Céleri"
Crêpes sucrées,"Sauce brune, Poulet, Sésame, Lait, Oignons, Pommes de terre","Sauce brune, Poulet, Sésame, Lait, Oignons, Pommes de terre","Gluten, Graines de sésame, Lait"
Macarons,"Lait, Oignons, Huile végétale, Carottes, Tomates","Lait, Oignons, Huile végétale, Carottes, Tomates",Lait
Fèves au lard,"Carottes, Vanille, Escargots","Carottes, Vanille, Escargots",Mollusques
Raclette,"Pâtes alimentaires, Farine de blé, Pommes de terre, Fromage en grains","Pâtes alimentaires, Farine de blé, Pommes de terre, Fromage en grains","Gluten, Lait"
Hamburger steak,"Poisson, Vanille, Crème fraîche, Noisettes","Poisson, Vanille, Crème fraîche, Noisettes","Fruits à coque, Lait, Poisson"
Escargots à l'ail,"Tomates, Pâtes alimentaires, Noisettes","Tomates, Pâtes alimentaires, Noisettes","Fruits à coque, Gluten"
Fèves au lard,"Fromage en grains, Chocolat noir, Pâtes alimentaires, Carottes, Pain, Poisson","Fromage en grains, Chocolat noir, Pâtes alimentaires, Carottes, Pain, Poisson","Gluten, Lait, Poisson"
Croque-monsieur,"Vanille, Pâtes alimentaires, Pain","Vanille, Pâtes alimentaires, Pain",Gluten
Soupe aux pois,"Noisettes, Pommes de terre, Chocolat noir, Sauce soja","Noisettes, Pommes de terre, Chocolat noir, Sauce soja","Fruits à coque, Soja"
Ratatouille,"Boeuf haché, Chocolat noir, Escargots, Noix de cajou, Poulet","Boeuf haché, Chocolat noir, Escargots, Noix de cajou, Poulet","Fruits à coque, Mollusques"
Crème brûlée,"Oeufs, Pâtes alimentaires, Beurre, Sauce soja, Céleri","Oeufs, Pâtes alimentaires, Beurre, Sauce soja, Céleri","Oeufs, Céleri, Soja, Lait, Gluten"
Magret de canard,"Lait, Sésame, Escargots, Poulet","Lait, Sésame, Escargots, Poulet","Graines de sésame, Lait, Mollusques"
Raclette,"Oeufs, Crevettes, Fromage en grains","Oeufs, Crevettes, Fromage en grains","Oeufs, Lait, Crustacés"
Cassoulet,"Carottes, Moutarde, Arachides, Sésame","Carottes, Moutarde, Arachides, Sésame","Moutarde, Arachides, Graines de sésame"
Crêpes sucrées,"Poulet, Huile végétale, Céleri, Escargots, Chocolat noir","Poulet, Huile végétale, Céleri, Escargots, Chocolat noir","Mollusques, Céleri"
